n,k,t,check_bits,percent_correction,array_size,ber,hdm_ber,block_count,block_fail_prob,array_fail_prob,maes_ent, maes_ent_rate, dodis_ent, dodis_ent_rate, total_maes_ent, total_dodis_ent
7,4,1,3,14.29%,1024,0.0100,0.0029, 146,0.000178491963,0.025725466018,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0200,0.0049, 146,0.000492589397,0.069409334961,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0300,0.0068, 146,0.000959197854,0.130737470578,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0400,0.0088, 146,0.001575296787,0.205605170770,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0500,0.0107, 146,0.002337901323,0.289462262043,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0600,0.0127, 146,0.003244061984,0.377743544058,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0700,0.0146, 146,0.004290864410,0.466242734175,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0800,0.0166, 146,0.005475429079,0.551393528511,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0900,0.0186, 146,0.006794911031,0.630440242521,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.1000,0.0205, 146,0.008246499592,0.701498627993,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.1100,0.0225, 146,0.009827418098,0.763521924739,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.1200,0.0244, 146,0.011534923627,0.816196342489,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.1300,0.0264, 146,0.013366306724,0.859793679118,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.1400,0.0283, 146,0.015318891132,0.895007450145,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.1500,0.0303, 146,0.017390033523,0.922794176033,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.1600,0.0322, 146,0.019577123233,0.944235000124,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
15,11,1,4,6.67%,1024,0.0100,0.0029, 68,0.000878638731,0.058022318467,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0200,0.0049, 68,0.002399751872,0.150730950001,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0300,0.0068, 68,0.004624726097,0.270364963308,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0400,0.0088, 68,0.007516987039,0.401354678600,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0500,0.0107, 68,0.011041253237,0.529980408127,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0600,0.0127, 68,0.015163498998,0.646197187693,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0700,0.0146, 68,0.019850918175,0.744220729531,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0800,0.0166, 68,0.025071888825,0.822116228753,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0900,0.0186, 68,0.030795938745,0.880811234952,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.1000,0.0205, 68,0.036993711857,0.922948630826,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.1100,0.0225, 68,0.043636935432,0.951877291805,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.1200,0.0244, 68,0.050698388121,0.970927201134,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.1300,0.0264, 68,0.058151868796,0.982990174161,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.1400,0.0283, 68,0.065972166165,0.990351325737,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.1500,0.0303, 68,0.074135029155,0.994688215764,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.1600,0.0322, 68,0.082617138042,0.997159189018,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,7,2,8,13.33%,1024,0.0100,0.0029, 68,0.000011143480,0.000757473854,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0200,0.0049, 68,0.000050690571,0.003441111983,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0300,0.0068, 68,0.000136668544,0.009251039524,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0400,0.0088, 68,0.000285401667,0.019222920592,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0500,0.0107, 68,0.000511986943,0.034224648906,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0600,0.0127, 68,0.000830347979,0.054921340888,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0700,0.0146, 68,0.001253287083,0.081742081718,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0800,0.0166, 68,0.001792535634,0.114853226593,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0900,0.0186, 68,0.002458802764,0.154142590032,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.1000,0.0205, 68,0.003261822418,0.199217941308,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.1100,0.0225, 68,0.004210398803,0.249421884968,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.1200,0.0244, 68,0.005312450306,0.303863547291,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.1300,0.0264, 68,0.006575051895,0.361465689091,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.1400,0.0283, 68,0.008004476059,0.421024144580,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.1500,0.0303, 68,0.009606232322,0.481275075349,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.1600,0.0322, 68,0.011385105366,0.540964626113,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,5,3,10,20.00%,1024,0.0100,0.0029, 68,0.000000097997,0.000006663786,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0200,0.0049, 68,0.000000743243,0.000050539234,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0300,0.0068, 68,0.000002806454,0.000190820945,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0400,0.0088, 68,0.000007537796,0.000512440721,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0500,0.0107, 68,0.000016532820,0.001123609338,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0600,0.0127, 68,0.000031698944,0.002153240817,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0700,0.0146, 68,0.000055223633,0.003748268392,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0800,0.0166, 68,0.000089544222,0.006070777618,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0900,0.0186, 68,0.000137319319,0.009294887861,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.1000,0.0205, 68,0.000201401741,0.013603324704,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.1100,0.0225, 68,0.000284812904,0.019183642321,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.1200,0.0244, 68,0.000390718644,0.026224076306,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.1300,0.0264, 68,0.000522406381,0.034909033261,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.1400,0.0283, 68,0.000683263607,0.045414253015,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.1500,0.0303, 68,0.000876757624,0.057901711533,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.1600,0.0322, 68,0.001106416494,0.072514366093,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
31,26,1,5,3.23%,1024,0.0100,0.0029, 33,0.003771876691,0.117244725526,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.0200,0.0049, 33,0.010091710005,0.284460320813,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.0300,0.0068, 33,0.019054020460,0.469985170591,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.0400,0.0088, 33,0.030345788709,0.638292675530,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.0500,0.0107, 33,0.043679711903,0.770960077706,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.0600,0.0127, 33,0.058792408611,0.864599925043,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.0700,0.0146, 33,0.075442736611,0.924869567614,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.0800,0.0166, 33,0.093410216983,0.960685109285,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.0900,0.0186, 33,0.112493558329,0.980516814773,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.1000,0.0205, 33,0.132509275243,0.990822176112,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.1100,0.0225, 33,0.153290395518,0.995876765431,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.1200,0.0244, 33,0.174685250827,0.998228068158,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.1300,0.0264, 33,0.196556345958,0.999269653386,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.1400,0.0283, 33,0.218779301910,0.999710576721,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.1500,0.0303, 33,0.241241868445,0.999889487647,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.1600,0.0322, 33,0.263843001929,0.999959259657,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,21,2,10,6.45%,1024,0.0100,0.0029, 33,0.000106291418,0.003501658055,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.0200,0.0049, 33,0.000472361886,0.015470704843,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.0300,0.0068, 33,0.001244262724,0.040253638539,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.0400,0.0088, 33,0.002538762824,0.080463648059,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.0500,0.0107, 33,0.004450138740,0.136863397699,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.0600,0.0127, 33,0.007052636228,0.208291158787,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.0700,0.0146, 33,0.010402721118,0.291841862052,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.0800,0.0166, 33,0.014541134983,0.383304864354,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.0900,0.0186, 33,0.019494770067,0.477787601772,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.1000,0.0205, 33,0.025278376963,0.570404408764,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.1100,0.0225, 33,0.031896117650,0.656896824056,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.1200,0.0244, 33,0.039342975645,0.734076959127,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.1300,0.0264, 33,0.047606034246,0.800037315490,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.1400,0.0283, 33,0.056665633091,0.854129769478,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.1500,0.0303, 33,0.066496412559,0.896764821721,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,21,2,10,6.45%,1024,0.1600,0.0322, 33,0.077068254892,0.929108155041,18.9000, 0.0148,18.9000,0.0148,498.96,498.96
31,16,3,15,9.68%,1024,0.0100,0.0029, 33,0.000002175871,0.000071801248,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.0200,0.0049, 33,0.000016095783,0.000531024058,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.0300,0.0068, 33,0.000059280482,0.001954401565,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.0400,0.0088, 33,0.000155303462,0.005112299751,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.0500,0.0107, 33,0.000332259885,0.010906486420,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.0600,0.0127, 33,0.000621414933,0.020304105301,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.0700,0.0146, 33,0.001056039010,0.034266827059,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.0800,0.0166, 33,0.001670410910,0.053675410434,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.0900,0.0186, 33,0.002498971615,0.079252349578,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.1000,0.0205, 33,0.003575612905,0.111487606496,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.1100,0.0225, 33,0.004933086235,0.150574214548,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.1200,0.0244, 33,0.006602518685,0.196361378923,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.1300,0.0264, 33,0.008613023858,0.248332269522,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.1400,0.0283, 33,0.010991396751,0.305611862699,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.1500,0.0303, 33,0.013761882568,0.367007065703,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,16,3,15,9.68%,1024,0.1600,0.0322, 33,0.016946010387,0.431077365795,14.4000, 0.0113,14.4000,0.0113,380.16,380.16
31,11,5,20,16.13%,1024,0.0100,0.0029, 33,0.000000000437,0.000000014428,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.0200,0.0049, 33,0.000000008986,0.000000296544,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.0300,0.0068, 33,0.000000064882,0.000002141096,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.0400,0.0088, 33,0.000000281031,0.000009273968,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.0500,0.0107, 33,0.000000898265,0.000029642305,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.0600,0.0127, 33,0.000002346625,0.000077435704,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.0700,0.0146, 33,0.000005309484,0.000175198081,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.0800,0.0166, 33,0.000010787122,0.000355913604,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.0900,0.0186, 33,0.000020157065,0.000664968650,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.1000,0.0205, 33,0.000035229099,0.001161905214,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.1100,0.0225, 33,0.000058293421,0.001921889770,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.1200,0.0244, 33,0.000092160796,0.003036825909,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.1300,0.0264, 33,0.000140194015,0.004616040005,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.1400,0.0283, 33,0.000206330246,0.006786467879,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.1500,0.0303, 33,0.000295094156,0.009692268515,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,11,5,20,16.13%,1024,0.1600,0.0322, 33,0.000411601889,0.013493789914,9.9000, 0.0077,9.9000,0.0077,261.36,261.36
31,6,7,25,22.58%,1024,0.0100,0.0029, 33,0.000000000000,0.000000000001,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.0200,0.0049, 33,0.000000000002,0.000000000076,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.0300,0.0068, 33,0.000000000033,0.000000001079,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.0400,0.0088, 33,0.000000000235,0.000000007741,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.0500,0.0107, 33,0.000000001122,0.000000037030,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.0600,0.0127, 33,0.000000004102,0.000000135359,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.0700,0.0146, 33,0.000000012378,0.000000408486,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.0800,0.0166, 33,0.000000032360,0.000001067882,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.0900,0.0186, 33,0.000000075668,0.000002497030,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.1000,0.0205, 33,0.000000161837,0.000005340607,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.1100,0.0225, 33,0.000000321786,0.000010618870,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.1200,0.0244, 33,0.000000602092,0.000019868854,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.1300,0.0264, 33,0.000001070116,0.000035313223,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.1400,0.0283, 33,0.000001819957,0.000060056843,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.1500,0.0303, 33,0.000002979244,0.000098310359,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
31,6,7,25,22.58%,1024,0.1600,0.0322, 33,0.000004716699,0.000155639306,5.4000, 0.0042,5.4000,0.0042,142.56,142.56
63,57,1,6,1.59%,1024,0.0100,0.0029, 16,0.014891397917,0.213414778867,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.0200,0.0049, 16,0.038259356947,0.464292761359,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.0300,0.0068, 16,0.069407952515,0.683663438133,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.0400,0.0088, 16,0.106275156884,0.834323357476,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.0500,0.0107, 16,0.147160374346,0.921679052320,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.0600,0.0127, 16,0.190670318524,0.966115000074,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.0700,0.0146, 16,0.235672302417,0.986433320535,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.0800,0.0166, 16,0.281253985950,0.994927673652,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.0900,0.0186, 16,0.326688743323,0.998215756991,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.1000,0.0205, 16,0.371405915996,0.999405810970,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.1100,0.0225, 16,0.414965308432,0.999811675893,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.1200,0.0244, 16,0.457035364086,0.999942938300,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.1300,0.0264, 16,0.497374529844,0.999983407498,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.1400,0.0283, 16,0.535815379331,0.999995354291,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.1500,0.0303, 16,0.572251120161,0.999998743906,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,57,1,6,1.59%,1024,0.1600,0.0322, 16,0.606624158227,0.999999671207,51.3000, 0.0401,51.3000,0.0401,656.64,656.64
63,51,2,12,3.17%,1024,0.0100,0.0029, 16,0.000875602433,0.013918012231,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.0200,0.0049, 16,0.003715549191,0.057820531371,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.0300,0.0068, 16,0.009348802261,0.139536796136,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.0400,0.0088, 16,0.018227344296,0.254968025657,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.0500,0.0107, 16,0.030542126424,0.391216217407,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.0600,0.0127, 16,0.046288612007,0.531541099008,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.0700,0.0146, 16,0.065319754514,0.660680339958,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.0800,0.0166, 16,0.087388489558,0.768487165014,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.0900,0.0186, 16,0.112181508729,0.850999756331,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.1000,0.0205, 16,0.139345814052,0.909372715798,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.1100,0.0225, 16,0.168509321096,0.947794271369,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.1200,0.0244, 16,0.199296580737,0.971453890365,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.1300,0.0264, 16,0.231340520104,0.985149406740,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.1400,0.0283, 16,0.264290958337,0.992632884224,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.1500,0.0303, 16,0.297820529176,0.996507229503,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,51,2,12,3.17%,1024,0.1600,0.0322, 16,0.331628537157,0.998414061362,45.9000, 0.0359,45.9000,0.0359,587.52,587.52
63,45,3,18,4.76%,1024,0.0100,0.0029, 16,0.000038223858,0.000611406434,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.0200,0.0049, 16,0.000269078349,0.004296576100,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.0300,0.0068, 16,0.000943277136,0.014986130130,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.0400,0.0088, 16,0.002352714046,0.036986430506,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.0500,0.0107, 16,0.004793247070,0.073995647775,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.0600,0.0127, 16,0.008538960418,0.128212885340,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.0700,0.0146, 16,0.013825674127,0.199688476466,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.0800,0.0166, 16,0.020841478715,0.286082340929,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.0900,0.0186, 16,0.029722508764,0.382928759680,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.1000,0.0205, 16,0.040552530373,0.484368751149,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.1100,0.0225, 16,0.053365215124,0.584166625143,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.1200,0.0244, 16,0.068148217504,0.676741878654,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.1300,0.0264, 16,0.084848372313,0.757959019407,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.1400,0.0283, 16,0.103377490753,0.825516566597,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.1500,0.0303, 16,0.123618364842,0.878914457638,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,45,3,18,4.76%,1024,0.1600,0.0322, 16,0.145430694839,0.919098489013,40.5000, 0.0316,40.5000,0.0316,518.40,518.40
63,39,4,24,6.35%,1024,0.0100,0.0029, 16,0.000001316869,0.000021069697,35.1000, 0.0274,35.1000,0.0274,449.28,449.28
